Distance_(pixels),Gray_Value,
730,5.527,0.027727888
731,5.438,0.027281393
732,5.214,0.026157628
733,5.268,0.026428536
734,5.031,0.025239553
735,5.045,0.025309788
736,4.679,0.023473637
737,4.344,0.021793007
738,4.411,0.022129133
739,4.955,0.024858275
740,5.022,0.025194401
741,4.799,0.024075653
742,5.487,0.027527216
743,4.982,0.024993729
744,4.888,0.024522149
745,5.049,0.025329855
746,5.804,0.029117544
747,4.964,0.024903426
748,4.786,0.024010435
749,5.214,0.026157628
750,5.049,0.025329855
751,5.116,0.025665981
752,4.746,0.023809763
753,5.08,0.025485376
754,4.741,0.023784679
755,5.326,0.02671951
756,4.429,0.022219435
757,4.612,0.023137511
758,5.018,0.025174334
759,4.777,0.023965284
760,4.777,0.023965284
761,4.71,0.023629158
762,4.714,0.023649225
763,4.469,0.022420107
764,5.165,0.025911805
765,4.969,0.024928511
766,5.013,0.02514925
767,5.683,0.02851051
768,4.5,0.022575628
769,4.996,0.025063964
770,4.54,0.022776301
771,4.973,0.024948578
772,5.321,0.026694426
773,4.299,0.02156725
774,4.58,0.022976973
775,4.737,0.023764611
776,5.058,0.025375006
777,4.862,0.024391712
778,4.487,0.02251041
779,4.308,0.021612402
780,5,0.025084032
781,4.871,0.024436863
782,4.612,0.023137511
783,4.808,0.024120805
784,4.951,0.024838208
785,4.835,0.024256258
786,4.75,0.02382983
787,4.576,0.022956906
788,4.911,0.024637536
789,5.031,0.025239553
790,4.54,0.022776301
791,4.482,0.022485326
792,4.938,0.02477299
793,4.737,0.023764611
794,4.254,0.021341494
795,4.317,0.021657553
796,4.129,0.020714393
797,4.625,0.023202729
798,4.357,0.021858225
799,4.42,0.022174284
800,4.429,0.022219435
801,4.661,0.023383334
802,4.549,0.022821452
803,4.786,0.024010435
804,4.652,0.023338183
805,4.857,0.024366628
806,4.554,0.022846536
807,4.857,0.024366628
808,4.701,0.023584006
809,5.129,0.0257312
810,4.308,0.021612402
811,4.513,0.022640847
812,4.598,0.023067275
813,4.491,0.022530477
814,4.192,0.021030452
815,4.768,0.023920132
816,4.29,0.021522099
817,4.125,0.020694326
818,4.768,0.023920132
819,4.304,0.021592334
820,5.009,0.025129183
821,4.335,0.021747855
822,4.518,0.022665931
823,4.634,0.02324788
824,4.647,0.023313099
825,5.049,0.025329855
826,4.496,0.022555561
827,4.933,0.024747905
828,5.165,0.025911805
829,4.634,0.02324788
830,4.451,0.022329805
831,4.795,0.024055586
832,4.71,0.023629158
833,4.853,0.024346561
834,5.366,0.026920183
835,4.527,0.022711082
836,4.688,0.023518788
837,4.652,0.023338183
838,4.629,0.023222796
839,4.504,0.022595696
840,4.946,0.024813124
841,4.763,0.023895048
842,4.808,0.024120805
843,5.134,0.025756284
844,4.679,0.023473637
845,4.75,0.02382983
846,5.018,0.025174334
847,4.871,0.024436863
848,4.571,0.022931822
849,5.259,0.026383384
850,5.339,0.026784729
851,4.79,0.024030502
852,5.147,0.025821502
853,4.871,0.024436863
854,4.964,0.024903426
855,4.656,0.02335825
856,5.094,0.025555611
857,4.446,0.022304721
858,5.107,0.02562083
859,4.862,0.024391712
860,4.696,0.023558922
861,5.125,0.025711132
862,4.951,0.024838208
863,5.107,0.02562083
864,5.281,0.026493754
865,5.393,0.027055636
866,4.946,0.024813124
867,5.232,0.026247931
868,5.29,0.026538905
869,4.946,0.024813124
870,5.022,0.025194401
871,4.929,0.024727838
872,5.116,0.025665981
873,5.656,0.028375056
874,5.022,0.025194401
875,5.299,0.026584057
876,4.929,0.024727838
877,5.438,0.027281393
878,5.353,0.026854964
